word,coefficient
amazing,16.23797496526903
great,14.246753727292502
awesome,11.998883242494362
loved,10.516826829366808
enjoyed,9.548409960030634
cares,9.198803927196735
best,8.746344621688403
excellent,8.650971788644254
fantastic,8.131537810549867
caring,8.036895339596514
easy,7.624191902209156
wonderful,7.621846398543083
wont regret,7.11641892081321
best professors,7.049936237687998
interesting,6.906299154262955
helped,6.906289476457475
willing,6.839613057432276
fun,6.7617806858648555
gem,6.546227716058526
funny,6.531027291703266
love,6.470154990524959
helps,6.371690726320441
fair,6.256591823684805
straightforward,6.046344471832841
solid,6.010292977357162
patient,5.943173576258305
chill,5.665753010485142
incredible,5.614774066244282
makes sure,5.602707192906137
sweetest,5.5686310155542635
goat,5.426312959909724
highly recommend,5.42046604040643
liked,5.395972433217548
extremely helpful,5.3670051991799825
favorite,5.196435998431283
easiest,5.060530002280666
enjoyable,4.96863323240393
little boring,4.954784995211982
easy understand,4.892465293046483
manageable,4.881876449471678
definitely,4.748697279183084
phenomenal,4.743668189785494
hilarious,4.731246908100213
succeed,4.726428680181115
sweet,4.667558085724288
laid,4.626885405641862
passionate,4.553008647668206
understanding,4.521603687677848
entertaining,4.49618849736466
appreciated,4.464671255113882
bit,4.36121919416748
best ive,4.325143799093391
generous,4.295593037283196
downside,4.260099006512138
impossible fail,4.233872149650494
nicest,4.2167083936431995
explains,4.195972544329488
complaint,4.164864672219155
super helpful,4.146231652403274
understands,4.139410516590377
supportive,4.112420208780129
grateful,4.094316567331763
encourages,4.067410698056008
far best,4.044556049642519
available,4.012723791507182
reasonable,3.999269726895339
straight point,3.9962834918034185
thank,3.978404254589556
kind,3.950180708703356
wasnt bad,3.9448965813751475
sure understand,3.938117716029532
pay attention,3.92811473062765
outstanding,3.9019013675697662
legend,3.864572373024379
wants learn,3.8560681894522673
pleasure,3.8548984725305795
engaging,3.847225379417436
prepares,3.8414221810313443
takes explain,3.8030636436974863
thorough,3.799154559929594
relaxed,3.7967396110321454
allows,3.785761314091829
easygoing,3.7648566656555835
thoughtful,3.73782905833708
happy,3.7373638824456044
forward,3.7268472227959197
participate,3.7226571455495647
kindest,3.677758975315637
wants pass,3.669058236884686
informative,3.657474820071285
rewarding,3.65332884426587
surprises,3.6348904830219193
knowledgeable,3.6243356902072286
provides,3.623839361737336
effort,3.6029399569939344
fair grader,3.596515977496001
inspiring,3.583009369154002
exceptional,3.5824878693557567
insightful,3.571625370634364
comfortable,3.566947127149607
lets,3.5659113247333587
inspirational,3.56514422885293
approachable,3.5533822553082928
fine,3.5421749659486754
plenty,3.5384021611886154
gives feedback,3.5134320672553536
accessible,3.4998030614501587
follow instructions,3.4997785861849393
humor,3.494434283066786
responsive,3.483084496140946
genuinely,3.4772462348918203
lenient,3.457582052493225
encouraging,3.452322050366037
cool,3.4435203472689007
easy follow,3.4253749736913908
bad reviews,3.4043411466828912
favorite professors,3.3907555096663624
sweetheart,3.346874234206092
dedicated,3.3404191657784947
truly,3.326635497822902
cared,3.316362339039191
little confusing,3.3102451353132625
wants succeed,3.2994706380722234
helpful,3.2927094757703967
make sure,3.277119540157701
breeze,3.273385982466927
thing didnt,3.254497076084008
earth,3.2408558325312615
wants understand,3.234633810389675
long follow,3.211327315891392
literally best,3.1707721784388103
fairly,3.16995619505114
coolest,3.1678457048144866
quick respond,3.1677686201561204
ensure,3.1544728314716353
best math,3.153201169300762
bad thing,3.1382090597048915
highly recommended,3.1350711069653165
respects,3.1138307251761432
offers,3.109080829868462
improved,3.1083924912081433
funniest,3.1004731510285928
bearable,3.0887712450066154
straight forward,3.083693020880815
terrible math,3.075752952173461
solid choice,3.071934608170998
super understanding,3.0657292904572944
highly,3.059642456372829
doable,3.0511799879286547
dope,3.0410161036274728
lovely,3.038148336577783
open,3.0334477588064335
lowest,3.0109285494443707
emails quickly,3.005446670280909
lays,2.9940399031244547
energetic,2.9706943981585416
super nice,2.9653113936991073
makes fun,2.959119323829687
heartbeat,2.9433908105581055
relatable,2.940262042500101
tells exactly,2.929651689060067
interactive,2.9177333477734884
laidback,2.9145152288669895
genuinely cares,2.909645181968943
lots extra,2.904389183536025
attention,2.8981465178317727
different ways,2.8936895374983314
best english,2.8917024464857315
gives clear,2.8755555044512024
easier,2.8727584654845297
lenient grader,2.868435056671198
definitely recommend,2.8619099731918194
nervous,2.8546836821895734
way fail,2.854338162263021
moderate,2.8528095640591906
extremely knowledgeable,2.85211669933622
unique,2.8341087396417035
knows teach,2.831252770317133
wont disappointed,2.826860253792653
listens,2.8237936841219606
valuable,2.819221680276314
sure understood,2.818548357013029
brilliant,2.782339199471172
boring times,2.780808864064754
werent bad,2.777983745605351
glad,2.772113817770005
hesitate,2.767710721798037
eager,2.7667292741898506
follow directions,2.7622512983374343
right direction,2.759584614450334
understandable,2.748613135790389
emails fast,2.7403335707831094
respectful,2.7258532229353003
best taken,2.72095805868226
