word,log_prob_ratio
cares doing,2.5909438986263726
nervous taking,2.5881797592149045
great love,2.584550394973766
hands favorite,2.5794540725247543
awesome gives,2.5788056182852728
amazing hes,2.57796835623693
great helpful,2.5768806633546273
cares succeed,2.573044021192297
great instructor,2.572416088848417
amazing wish,2.570216361154438
super great,2.5677522001626407
helps need,2.5674826319665414
helps understand,2.5647220655870573
great fair,2.5646246954090266
learned definitely,2.564582294366504
love way,2.563558843751247
enjoyed classes,2.561704715205124
interesting highly,2.5510886481305004
best best,2.550532851332809
great choice,2.5501821755153085
need succeed,2.548153711379804
helped improve,2.5461765630428825
cares education,2.5461039870082836
stressfree,2.5440244462410657
easy talk,2.542892230924549
great helps,2.5404491589242273
incredible,2.540405683354191
amazing wants,2.5403522194662482
funny makes,2.5397994913311575
willing answer,2.5396172539060924
amazing knowledgeable,2.536753256812057
hilarious,2.5313400902909002
truly enjoyed,2.5308685249150322
approachable willing,2.5268031264436264
fun highly,2.526800423407261
relaxed,2.5222387053624153
feedback willing,2.5216740662751107
willing effort,2.5199657647519818
fun engaging,2.5174953742688775
interesting gives,2.5141438001050673
great funny,2.5140219117577036
kind cares,2.510421910790221
helps learn,2.510118804462282
great loved,2.5087470161587024
patient,2.50535185557964
explains clearly,2.505142706845435
cares highly,2.5001952399378577
caring understanding,2.4997628434779635
love classes,2.498196347617693
amazing tell,2.4953071662382786
wants successful,2.491837522805799
amazing explains,2.491460339928585
cares passionate,2.486253112724924
great prof,2.480323536170447
honestly amazing,2.479909248838103
sure understand,2.4775308005205403
heartbeat,2.4766478467423347
fun group,2.4747598172708845
kindest professors,2.4723554932146374
understanding definitely,2.4711750118765234
best history,2.469740730786887
attention youll,2.469613644921189
cares easy,2.4690964592368108
ensure understand,2.4686730584515804
keeps interesting,2.4662219854881045
great amazing,2.4605239568100075
loved learned,2.4598445716025505
fascinating,2.4588470586175593
tells exactly,2.45860126773794
extra mile,2.4529490817193977
truly great,2.4505298700228213
hes hilarious,2.4495850798633754
makes entertaining,2.447897835607753
dope,2.446252458681501
amazing actually,2.445716786938389
great discussions,2.4383531794271516
enjoyable easy,2.4374408977062227
helpful cares,2.4372115077263015
extremely understanding,2.435736391727417
love best,2.4332706075409885
wants best,2.4332180632128733
great recommend,2.4315880092672444
makes understandable,2.4310527634613557
amazing experience,2.4300773527952906
interesting engaging,2.4296613193138814
makes bearable,2.4282374221686958
great lots,2.427206838056126
awesome guy,2.425375853007015
sweetheart,2.424946945301892
kind understanding,2.423409202172488
favorite classes,2.4194702067562677
participate youll,2.418813244500855
caring respectful,2.41479776062954
awesome caring,2.413025892597961
